column,original,imputed
emp_length,< 1 year,0
emp_length,10+ years,10
home_ownership,ANY,OTHER
grade,1,A
grade,2,A
grade,3,A
grade,4,A
grade,5,A
grade,6,B
grade,7,B
grade,8,B
grade,9,B
grade,10,B
grade,11,C
grade,12,C
grade,13,C
grade,14,C
grade,15,C
grade,16,D
grade,17,D
grade,18,D
grade,19,D
grade,20,D
grade,21,E
grade,22,E
grade,23,E
grade,24,E
grade,25,E
grade,26,F
grade,27,F
grade,28,F
grade,29,F
grade,30,F
grade,31,G
grade,32,G
grade,33,G
grade,34,G
grade,35,G
addr_state,TN,41
addr_state,IL,13
addr_state,GA,10
addr_state,VA,44
addr_state,OH,34
addr_state,WA,46
addr_state,FL,9
addr_state,NY,33
addr_state,TX,42
addr_state,CT,6
addr_state,CA,4
addr_state,MA,18
addr_state,MI,21
addr_state,OK,35
addr_state,KY,16
addr_state,NJ,30
addr_state,IN,14
addr_state,NC,26
addr_state,VT,45
addr_state,AR,2
addr_state,NV,32
addr_state,AL,1
addr_state,UT,43
addr_state,WY,49
addr_state,MD,19
addr_state,OR,36
addr_state,NM,31
addr_state,PA,37
addr_state,CO,5
addr_state,AK,0
addr_state,WI,47
addr_state,SC,39
addr_state,MO,23
addr_state,LA,17
addr_state,MS,24
addr_state,RI,38
addr_state,SD,40
addr_state,AZ,3
addr_state,HI,11
addr_state,ID,12
addr_state,DC,7
addr_state,ME,20
addr_state,MN,22
addr_state,MT,25
addr_state,KS,15
addr_state,DE,8
addr_state,WV,48
addr_state,NE,28
addr_state,NH,29
addr_state,ND,27
state,TN,41
state,IL,13
state,GA,10
state,VA,44
state,OH,34
state,WA,46
state,FL,9
state,NY,33
state,TX,42
state,CT,6
state,CA,4
state,MA,18
state,MI,21
state,OK,35
state,KY,16
state,NJ,30
state,IN,14
state,NC,26
state,VT,45
state,AR,2
state,NV,32
state,AL,1
state,UT,43
state,WY,49
state,MD,19
state,OR,36
state,NM,31
state,PA,37
state,CO,5
state,AK,0
state,WI,47
state,SC,39
state,MO,23
state,LA,17
state,MS,24
state,RI,38
state,SD,40
state,AZ,3
state,HI,11
state,ID,12
state,DC,7
state,ME,20
state,MN,22
state,MT,25
state,KS,15
state,DE,8
state,WV,48
state,NE,28
state,NH,29
state,ND,27
letter_grade,A,0
letter_grade,B,1
letter_grade,D,3
letter_grade,C,2
letter_grade,F,5
letter_grade,E,4
letter_grade,G,6
